subject,session,run,decoder,study,trial,pre_gap_s,n_channels_used,trial_dur_s,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation,emg_index,mean_dist,median_dist,frac_within,vel_alignment
S01,Se08,R01,Chance,Main,0,2.321,11,60.0,1.3853927140368374,2.3224343256829654,0.9139371779830353,0.03806308047265764,0.7846621684267451,21.940050060007678,0.43519988462546594,0.25769593068955904,0.04608075129891359,0.03806308047265764,0.04207191588578561,0.09528530680682401,0.11605327550672404,0.6057912049407728,0.6204727093851938,0.021333333333333333,-0.3149286076750843
S01,Se08,R01,Chance,Main,1,3.24,11,59.96,1.388977827134102,0.1549877501966037,1.2948517265074306,0.1286097340138799,0.5082564661600786,30.681605706195636,0.6979965967996438,0.2905932835435453,0.09334894703811489,0.0767870807740411,0.08506801390607799,0.09734485092340014,0.14753375989317316,0.4447902063407419,0.4169482042036662,0.061374249499666446,-0.08604292996350055
S01,Se08,R01,Chance,Main,2,3.28,11,59.96,2.061465603542747,0.07316741320487828,1.9744806199251395,0.03192091324604083,0.8206902310276336,12.714189132562908,0.46409108756884465,0.2796274992588832,0.01587482219736095,0.03727542684560293,0.02657512452148194,-0.4026435441712201,0.07042516033436073,0.6277968694006223,0.6326519786399925,0.00867244829886591,-0.21564661514376038
S01,Se08,R01,Chance,Main,3,3.24,11,60.04,1.4592012659072582,2.2673225457599258,1.2163064643185255,0.1108938292016183,0.39926581348613155,34.53530105012265,0.7646255315715815,0.38380244996317303,0.08546233080707974,0.1356865599767505,0.11057444539191512,-0.22710595107060338,0.23608111998115738,0.6029123390304432,0.5535332808156358,0.02598267821452365,-0.224036141640044
S01,Se08,R01,Chance,Main,4,3.2,11,60.0,1.2878750579417582,-0.09416103660189407,1.1246431309142328,0.21686297195959825,0.25828576193407665,35.06014362927328,0.7812967539544694,0.30155906782820735,0.2316185924660487,0.36445115164743946,0.29803487205674406,-0.22284734377677157,0.15262917997256256,0.5691532060730121,0.5687887068971573,0.006,-0.08318016497257259
S02,Se08,R01,Chance,Main,0,2.361,11,60.0,2.0835070725255735,-0.48370436798147426,1.2432372922470212,0.01670997533187316,0.873610483051848,19.80981519426598,0.32114686165690515,0.1535209799852692,0.009341956268549688,0.036186863221746225,0.022764409745147957,-0.5896244895811169,0.05656135946672471,0.6689998516432764,0.6775051028072989,0.027333333333333334,-0.29450251450423565
S02,Se08,R01,Chance,Main,1,3.24,11,60.0,2.1729393847003915,0.970471069726944,2.1624894282597964,0.03742588630478477,0.8435387273663807,10.453626974553936,0.42157875795161254,0.16996965641226233,0.04308096767849222,0.18023847761162198,0.11165972264505711,-0.6141762968959039,0.02053528411702916,0.6801004864060656,0.7053558896021259,0.0013333333333333333,-0.2718375313892306
S02,Se08,R01,Chance,Main,2,3.2,11,60.04,1.4871608529362539,1.45513883796715,1.5623512485133262,0.5570008244150744,0.18438541875623785,17.593008935386013,0.5889757864904992,0.2631788228318901,0.5732021299139272,0.5022801769239362,0.5377411534189317,0.0659443233413257,0.045577325103012434,0.6458104702408214,0.6462506551617972,0.029313790806129246,-0.1787748966107188
S02,Se08,R01,Chance,Main,3,3.24,11,59.96,1.3351602182832911,1.7142600173120022,1.3958667172571217,0.44401532220815576,0.3348408258395809,24.39698643985503,0.6467664997678388,0.3180077442552005,0.4066570307708072,0.4896982807939802,0.4481776557823937,-0.092643228585555,0.09294945803557257,0.6727213619981226,0.732470116561303,0.01467645096731154,-0.4337229153990348
S02,Se08,R01,Chance,Main,4,3.24,11,60.0,1.8651892336399776,1.866206628421299,1.5216644518189826,0.33766993644719484,0.3564941980574653,24.187296950293767,0.6722147567423802,0.3180077442552005,0.45724861072572137,0.7172056444740271,0.5872271275998743,-0.2213428344249073,0.0736798686720386,0.5883413703892085,0.5734832081240034,0.014666666666666666,-0.16047352997528985
S03,Se08,R01,Chance,Main,0,2.321,11,60.0,2.1644389483865822,0.033572939457029626,1.6018460258562162,0.016238850679846636,0.8833665134146347,8.332392413581337,0.308547604481091,0.1151407349889519,0.014595237850508702,0.024413759427724793,0.019504498639116748,-0.25169889672336426,0.033266062443484415,0.6823266194965873,0.6495105393316029,0.018,-0.4572532728442345
S03,Se08,R01,Chance,Main,1,3.2,11,60.04,1.1232123660983357,2.335270188775434,1.163308748652288,0.1179086144589379,0.29552524231865446,33.703578804900495,0.8273060664968968,0.252213038547228,0.1094375976733667,0.15584399840219737,0.13264079803778203,-0.17493260525925083,0.13023324622599902,0.5764323018064673,0.5523095191906999,0.013990672884743505,-0.17057348253408353
S03,Se08,R01,Chance,Main,2,3.2,11,60.04,1.163177976359043,3.0859154251834546,1.5438212615004452,0.09412839881164468,0.43528221711319043,28.075268907388264,0.7435588398513303,0.19190122498158652,0.1169929514414716,0.32028323705748263,0.2186380942494771,-0.46490133916015236,0.07879979749766511,0.5275249213869263,0.47511497594036306,0.013324450366422385,-0.3556912438234
