subject,session,run,decoder,study,trial,pre_gap_s,n_channels_used,trial_dur_s,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation,emg_index,mean_dist,median_dist,frac_within,vel_alignment
S01,Se08,R01,Chance,Main,0,2.321,11,60.0,1.3853927140368374,2.3224343256829654,0.9139371779830353,0.03806308047265764,0.7846621684267451,21.940050060007678,0.43519988462546594,0.25769593068955904,0.04608075129891359,0.03806308047265764,0.04207191588578561,0.09528530680682401,0.11605327550672404,0.6057912049407728,0.6204727093851938,0.021333333333333333,-0.3149286076750843
S01,Se08,R01,Chance,Main,1,3.24,11,59.96,1.388977827134102,0.1549877501966037,1.2948517265074306,0.1286097340138799,0.5082564661600786,30.681605706195636,0.6979965967996438,0.2905932835435453,0.09334894703811489,0.0767870807740411,0.08506801390607799,0.09734485092340014,0.14753375989317316,0.4447902063407419,0.4169482042036662,0.061374249499666446,-0.08604292996350055
S01,Se08,R01,Chance,Main,2,3.28,11,59.96,2.061465603542747,0.07316741320487828,1.9744806199251395,0.03192091324604083,0.8206902310276336,12.714189132562908,0.46409108756884465,0.2796274992588832,0.01587482219736095,0.03727542684560293,0.02657512452148194,-0.4026435441712201,0.07042516033436073,0.6277968694006223,0.6326519786399925,0.00867244829886591,-0.21564661514376038
S01,Se08,R01,Chance,Main,3,3.24,11,60.04,1.4592012659072582,2.2673225457599258,1.2163064643185255,0.1108938292016183,0.39926581348613155,34.53530105012265,0.7646255315715815,0.38380244996317303,0.08546233080707974,0.1356865599767505,0.11057444539191512,-0.22710595107060338,0.23608111998115738,0.6029123390304432,0.5535332808156358,0.02598267821452365,-0.224036141640044
S01,Se08,R01,Chance,Main,4,3.2,11,60.0,1.2878750579417582,-0.09416103660189407,1.1246431309142328,0.21686297195959825,0.25828576193407665,35.06014362927328,0.7812967539544694,0.30155906782820735,0.2316185924660487,0.36445115164743946,0.29803487205674406,-0.22284734377677157,0.15262917997256256,0.5691532060730121,0.5687887068971573,0.006,-0.08318016497257259
S03,Se08,R01,Chance,Main,0,2.321,11,60.0,2.1644389483865822,0.033572939457029626,1.6018460258562162,0.016238850679846636,0.8833665134146347,8.332392413581337,0.308547604481091,0.1151407349889519,0.014595237850508702,0.024413759427724793,0.019504498639116748,-0.25169889672336426,0.033266062443484415,0.6823266194965873,0.6495105393316029,0.018,-0.4572532728442345
S03,Se08,R01,Chance,Main,1,3.2,11,60.04,1.1232123660983357,2.335270188775434,1.163308748652288,0.1179086144589379,0.29552524231865446,33.703578804900495,0.8273060664968968,0.252213038547228,0.1094375976733667,0.15584399840219737,0.13264079803778203,-0.17493260525925083,0.13023324622599902,0.5764323018064673,0.5523095191906999,0.013990672884743505,-0.17057348253408353
S03,Se08,R01,Chance,Main,2,3.2,11,60.04,1.163177976359043,3.0859154251834546,1.5438212615004452,0.09412839881164468,0.43528221711319043,28.075268907388264,0.7435588398513303,0.19190122498158652,0.1169929514414716,0.32028323705748263,0.2186380942494771,-0.46490133916015236,0.07879979749766511,0.5275249213869263,0.47511497594036306,0.013324450366422385,-0.3556912438234
S03,Se08,R01,Chance,Main,3,3.16,11,60.04,0.45802468170396005,3.391239254258227,1.0677637471573036,0.19918055842948404,0.12829730185306595,30.919775882053603,0.8024258354742706,0.28511039140121425,0.3051637040325429,0.262881681988098,0.28402269301032046,0.07443423199094248,0.08745941060328771,0.6601534136811256,0.7276738947166884,0.016655562958027982,-0.25525742195155027
S03,Se08,R01,Chance,Main,4,3.24,11,60.04,2.149046812920567,3.7581153906059668,1.5234379304701826,0.04288017941804122,0.6989337175970743,21.96488626943781,0.4438056541680435,0.19738411712391754,0.10169867875510276,0.12465009830964703,0.1131743885323749,-0.10139846944248673,0.0697215181770221,0.5521868262024195,0.5318047823502645,0.028647568287808126,-0.28344668851992555
S05,Se08,R01,Chance,Main,0,2.281,11,60.04,0.5320882793236364,0.4795571145805707,0.43596650277261845,0.014815893198893522,0.8795255869781788,22.844523738094622,0.29611668653272144,0.16448676426993128,0.028456443853967905,0.014759692277842146,0.021608068065905026,0.31693605218084286,0.07025795148816899,0.7310491959932788,0.7964330913104003,0.021985343104596936,-0.6434644023848437
S05,Se08,R01,Chance,Main,1,3.24,11,60.0,0.8677144318282111,0.7267935266408048,0.839423410512768,0.6108832938502267,0.14514279211239953,26.662417836554813,0.6180313050156507,0.25769593068955904,0.5563765931660976,0.5801799498017766,0.5682782714839371,-0.02094339853389224,0.07851212408527901,0.6705075614610198,0.6892445299488288,0.010666666666666666,-0.27974612666845095
S05,Se08,R01,Chance,Main,2,3.2,11,60.04,1.8398381070714325,0.5927461421181367,1.2731625567505658,0.06847582886862652,0.664937212566968,28.088234228831894,0.5378085053590254,0.24673014640489693,0.06407481305073147,0.18849198268873726,0.12628339786973436,-0.4926109517830141,0.12608317984301212,0.6618723265319777,0.6648151158946338,0.0033311125916055963,-0.38189785168986917
