subject,session,run,decoder,study,trial,pre_gap_s,n_channels_used,trial_dur_s,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation,emg_index,mean_dist,median_dist,frac_within,vel_alignment
S01,Se08,R01,AR,Main,0,2.281,11,60.0,1.4517169366189688,0.8605173322559789,1.3149403019857395,0.12620573575990263,0.4337771890680832,32.724035242083765,0.7206209648218289,0.2631788228318901,0.21281806146385732,0.12620573575990263,0.16951189861187999,0.25547565219083856,0.11845135774541377,0.6166213642762178,0.6544806254570038,0.024666666666666667,-0.3696458760600877
S01,Se08,R01,AR,Main,1,3.24,11,60.0,1.3560954514763321,1.130936433148337,1.0735933011898884,0.044265582335006534,0.677625695673162,35.173398561222285,0.49256639834006105,0.18641833283925546,0.036700123039092605,0.13637607469233826,0.08653809886571542,-0.5759079120048428,0.21052530523070212,0.6545889225269244,0.7283146101333347,0.023333333333333334,-0.23446397555080575
S01,Se08,R01,AR,Main,2,3.24,11,60.0,1.7612140008238748,-0.19591688427905743,1.0517674900500238,0.047579889730447536,0.7819063585297386,22.896106293332153,0.4841512839996991,0.2631788228318901,0.10869725485050696,0.12213922551461587,0.11541824018256142,-0.0582315699964201,0.0792420993566596,0.5806945277265793,0.5527635272672453,0.014666666666666666,-0.26686546981422626
S01,Se08,R01,AR,Main,3,3.24,11,60.04,2.1557996368754506,0.36810074107773594,1.3879382276209018,0.037241085466812276,0.8024725718271855,20.879338488771467,0.4636783428296147,0.2686617149742211,0.08533691922866243,0.04000920549718573,0.06267306236292408,0.36162038380217654,0.0637826626527458,0.5402247473736531,0.5286477851326189,0.013990672884743505,-0.24779741043364367
S01,Se08,R01,AR,Main,4,3.24,11,59.96,1.8474324418726424,1.7519282458453793,1.760103965119201,0.14042277564758485,0.583676402550812,27.421106365915914,0.5437129958546076,0.25769593068955904,0.0725969370668531,0.08112353248574292,0.07686023477629801,-0.05546818484035663,0.0660081747939535,0.5516359407797102,0.541409933925568,0.0133422281521014,-0.3290919126635885
S01,Se08,R02,AR,Main,0,2.281,11,60.04,2.10889224174067,1.5147234942389076,1.2433499179709828,0.029220607821853123,0.7891943998087594,25.187801383113644,0.3764575630723292,0.19738411712391754,0.032059259266126724,0.044783156755297135,0.03842120801071193,-0.16558429768297442,0.07273052186519906,0.5717429788107915,0.5421616262932515,0.013990672884743505,-0.4183479866724225
S01,Se08,R02,AR,Main,1,3.2,11,60.0,1.4431604260892004,1.1358557142960164,1.2541624862580032,0.07647688630438933,0.5031070037099638,30.968075889694433,0.7328135114688097,0.30155906782820735,0.03989194551260223,0.06151715362534892,0.050704549568975577,-0.21324721643892128,0.11762787567860097,0.5955944627554289,0.596052764154515,0.014666666666666666,-0.1580844142492683
S01,Se08,R02,AR,Main,2,3.24,11,60.0,1.1913970333066999,0.6805132718565496,0.8124123659520176,0.04791835896295148,0.4837984856109407,35.678452077397324,0.6632850125009346,0.3563879892515178,0.09339894231689747,0.04791835896295148,0.07065865063992446,0.3218330872585894,0.18574748909675623,0.5864136112028385,0.5435659530358639,0.024,-0.31833379809740214
S01,Se08,R02,AR,Main,3,3.24,11,60.0,1.0739886908049123,-0.6106794036227786,0.8772652372437334,0.08638237534637315,0.33319227416269553,41.46748224762035,0.8125949189306944,0.28511039140121425,0.08638237534637315,0.09177485704426006,0.0890786161953166,-0.0302681043341714,0.197580672480758,0.6917946038311935,0.7206104075180005,0.006666666666666667,-0.314813230733723
S01,Se08,R02,AR,Main,4,3.2,11,60.04,1.7808712349720148,1.343493542187524,1.6921355655548267,0.07807199631879057,0.6664373167990977,27.14331575623275,0.5635105523081161,0.2631788228318901,0.054102456634781186,0.034274971730124115,0.044188714182452654,0.22435010014989945,0.10368566934792615,0.6295405499055979,0.6173023015664808,0.012658227848101266,-0.3589022672174728
S01,Se08,R03,AR,Main,0,2.281,11,60.0,2.2571334373869876,1.3113147773443379,1.5909724139939327,0.01803896614160145,0.8468659727226578,9.110803527022012,0.4272480684046696,0.2631788228318901,0.03706780973071671,0.06113802103183871,0.049102915381277715,-0.24509961490290302,0.050290145998637834,0.6669747741701194,0.7200025195219207,0.004666666666666667,-0.33642041814081913
