subject,session,run,decoder,study,trial,pre_gap_s,n_channels_used,trial_dur_s,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation,emg_index,mean_dist,median_dist,frac_within,vel_alignment
S01,Se01,R01,AR,Main,0,2.281,11,60.04,1.7003312323790356,0.24592445232201646,1.3809850640311894,0.0615717890355609,0.6601834203967603,31.089437141436292,0.6010677941382584,0.25769593068955904,0.0615717890355609,0.023172612133721418,0.04237220058464116,0.4531175673202846,0.07940601273174121,0.491237121306193,0.4533165763209492,0.03597601598934044,-0.09977654550153364
S01,Se01,R01,AR,Main,1,3.2,11,60.0,2.0925760760769174,0.6474393687695885,1.6950034698008796,0.034441495030507314,0.7988387337516378,22.412085762606,0.43285613056747496,0.2412472542625659,0.026973545657122705,0.034441495030507314,0.03070752034381501,-0.1215980530138894,0.04837580836036604,0.5168382214561175,0.4904148968286677,0.026,-0.04026560708832142
S01,Se01,R01,AR,Main,2,3.24,11,60.0,2.0171595587407345,1.581258640399919,1.6207693923607216,0.04301185282952824,0.7393779331756409,23.768488905301222,0.5452272878007381,0.29607617568587635,0.0914028318738221,0.026955403003297237,0.05917911743855967,0.5445115748594493,0.05162320137126929,0.36368862439555943,0.31239893199945945,0.074,-0.049450581587112886
S01,Se01,R01,AR,Main,3,3.24,11,60.0,1.8907629877882188,1.4867402701370303,1.5571209709349212,0.05148536720472218,0.6491478406423359,30.307381273903015,0.6038054437765492,0.30155906782820735,0.07048637303643432,0.04106929379831617,0.055777833417375244,0.26369865442778645,0.10597784009482561,0.5331163555228298,0.5168528301872306,0.015333333333333332,0.009301384546662302
S01,Se01,R01,AR,Main,4,3.28,11,59.96,2.1921972659614997,0.4278703510371341,1.5061783688512485,0.03569237429775391,0.7928913304283469,21.209811547292887,0.4789693839455117,0.17545254855459338,0.018682729047256926,0.04230789806153577,0.03049531355439635,-0.3873573716849507,0.028948798115054897,0.5064373861744461,0.5134335974173448,0.07071380920613743,-0.0866016051431053
S01,Se01,R02,AR,Main,0,2.281,11,60.0,2.147491786108137,-0.22686205523635947,1.4611862589923101,0.026870194137567076,0.7956073328358967,25.760889900963644,0.4744700224198802,0.252213038547228,0.06222428914018496,0.03324686847367273,0.047735578806928844,0.3035201561472021,0.0775785326345055,0.35759591334767493,0.3536731285982774,0.072,-0.061172055573202884
S01,Se01,R02,AR,Main,1,3.24,11,60.0,2.0174472281105196,1.8856827981714057,1.739797062659015,0.037393579148971456,0.7456340106955336,29.605260362214775,0.49886137820120774,0.24673014640489693,0.037393579148971456,0.023602392949138604,0.03049798604905503,0.22609994931550845,0.06792553956790907,0.5430987984072305,0.5096672146894081,0.04066666666666666,-0.09219528602828897
S01,Se01,R02,AR,Main,2,3.24,11,60.0,2.2047061924868374,0.9944460979417207,1.7161768712152101,0.0625410825072567,0.7463893350159744,22.78736817565369,0.49161515050797594,0.25769593068955904,0.06135479227045318,0.04350542033183592,0.05243010630114455,0.17022063464925308,0.08768125288298217,0.40573159191594405,0.38971421388644245,0.066,-0.09983494508480015
S01,Se01,R02,AR,Main,3,3.28,11,59.96,2.119285449967019,2.0036775098039614,1.5907454844773739,0.06732022860491982,0.6828376456656352,26.26445105836077,0.5313857082007157,0.19738411712391754,0.06732022860491982,0.014919766145430178,0.041119997375175,0.6371651970377422,0.08655513600993917,0.45021208064334967,0.42674876973654574,0.03935957304869913,-0.012993687469995428
S01,Se01,R02,AR,Main,4,3.24,11,60.0,2.0861783487604706,0.07438110694717451,1.4045092359198466,0.05543600659981993,0.7033670242044013,27.73986447139633,0.5071062402450215,0.22479857783557278,0.05543600659981993,0.03891600771387495,0.047176007156847444,0.17508898995012936,0.04778600468882338,0.4244674016779295,0.4205547563913793,0.037333333333333336,0.01725180716610545
