subject,dataset,run,status,error,sfreq,n_samples,smr_C3_db,smr_C4_db,smr_predictor_db,smr_peak_hz
A13,A,OE,ok,,512,61440,7.85614,3.27916,7.85614,10.25
A19,A,OE,ok,,512,61440,2.49045,10.9148,10.9148,11
A24,A,OE,ok,,512,61440,10.6484,8.49887,10.6484,11.25
A3,A,OE,ok,,512,61440,1.40618,1.42402,1.42402,9
A35,A,OE,ok,,512,61440,17.9171,15.3152,17.9171,10.5
A40,A,OE,ok,,512,61440,0.819102,-0.0449147,0.819102,11.5
A46,A,OE,ok,,512,61440,0.706818,2.07636,2.07636,8.75
A51,A,OE,ok,,512,61440,5.01563,2.79206,5.01563,8
A57,A,OE,ok,,512,61440,4.12533,10.2322,10.2322,11.75
A8,A,OE,ok,,512,61440,11.7237,9.87722,11.7237,10.25
B65,B,OE,ok,,512,61440,0.684647,3.24478,3.24478,11
B71,B,OE,ok,,512,61440,0.669121,0.941997,0.941997,14.75
B77,B,OE,ok,,512,61440,0.312538,-0.327531,0.312538,8
C83,C,OE,ok,,512,61440,13.2574,8.26231,13.2574,11
