recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,aperiodic_frontal,aperiodic_posterior,aperiodic_wholehead,n_frontal,n_posterior
sub-02@baseline,ds004541,sub-02,ok,,62,1000,30000,2.274646444,1.915209359,2.310606299,14,17
sub-02@start-180,ds004541,sub-02,ok,,62,1000,30000,2.478018456,1.977593498,2.401750835,14,17
sub-02@start-120,ds004541,sub-02,ok,,62,1000,30000,2.739401094,2.411201734,2.713813907,14,17
sub-02@start-60,ds004541,sub-02,ok,,62,1000,30000,1.879745092,1.725892795,1.961959894,14,17
sub-02@loc-300,ds004541,sub-02,ok,,62,1000,30000,1.673533722,1.635423324,2.036520841,14,17
sub-02@loc-240,ds004541,sub-02,ok,,62,1000,30000,1.72714329,1.72953517,1.904169395,14,17
sub-02@loc-180,ds004541,sub-02,ok,,62,1000,30000,2.026295946,1.922041906,2.263586135,14,17
sub-02@loc-120,ds004541,sub-02,ok,,62,1000,30000,1.981367872,1.841057291,2.133797482,14,17
sub-02@loc-60,ds004541,sub-02,ok,,62,1000,30000,2.30563455,2.028548123,2.420490857,14,17
sub-02@loc-30,ds004541,sub-02,ok,,62,1000,30000,2.41225732,2.147693881,2.506480765,14,17
sub-02@loc+30,ds004541,sub-02,ok,,62,1000,30000,1.797444209,1.448443177,1.572198623,14,17
sub-02@loc+60,ds004541,sub-02,ok,,62,1000,30000,2.220383883,1.859091453,2.143425838,14,17
sub-02@loc+120,ds004541,sub-02,ok,,62,1000,30000,2.132846369,1.718209289,1.927022778,14,17
sub-02@loc+180,ds004541,sub-02,ok,,62,1000,30000,2.659150719,1.739624474,2.161961841,14,17
sub-02@loc+240,ds004541,sub-02,ok,,62,1000,30000,2.929800668,1.961375891,2.478576435,14,17
sub-02@loc+300,ds004541,sub-02,ok,,62,1000,30000,2.761411563,1.984716216,2.536212033,14,17
sub-02@roc-60,ds004541,sub-02,ok,,62,1000,30000,2.080567522,1.723656907,1.974922768,14,17
sub-02@roc+60,ds004541,sub-02,ok,,62,1000,30000,2.799092055,2.389337131,2.656087699,14,17
sub-03@baseline,ds004541,sub-03,ok,,62,1000,30000,1.470202906,1.475830147,1.464679623,14,17
sub-03@start-180,ds004541,sub-03,ok,,62,1000,30000,1.284616829,1.56322232,1.798303267,14,17
sub-03@start-120,ds004541,sub-03,ok,,62,1000,30000,1.148360651,1.412729999,1.758779614,14,17
sub-03@start-60,ds004541,sub-03,ok,,62,1000,30000,2.093465068,2.354465961,2.390631491,14,17
sub-03@loc-300,ds004541,sub-03,ok,,62,1000,30000,1.27467882,1.589817389,1.759587506,14,17
sub-03@loc-240,ds004541,sub-03,ok,,62,1000,30000,0.4968349714,1.068440076,1.444325421,14,17
sub-03@loc-180,ds004541,sub-03,ok,,62,1000,30000,1.848039082,2.172791646,2.204722577,14,17
sub-03@loc-120,ds004541,sub-03,ok,,62,1000,30000,1.631699578,2.069444345,2.043122415,14,17
sub-03@loc-60,ds004541,sub-03,ok,,62,1000,30000,1.062014568,1.461252991,1.92780974,14,17
sub-03@loc-30,ds004541,sub-03,ok,,62,1000,30000,1.409150679,1.426423494,1.901830679,14,17
sub-03@loc+30,ds004541,sub-03,ok,,62,1000,30000,1.820707672,1.841330264,2.177591608,14,17
sub-03@loc+60,ds004541,sub-03,ok,,62,1000,30000,1.917232186,1.839349603,2.195496341,14,17
sub-03@loc+120,ds004541,sub-03,ok,,62,1000,30000,2.006684072,1.943884055,2.240204414,14,17
sub-03@loc+180,ds004541,sub-03,ok,,62,1000,30000,1.924135166,1.973613606,2.064967445,14,17
sub-03@loc+240,ds004541,sub-03,ok,,62,1000,30000,2.169067462,2.141344853,2.339360191,14,17
sub-03@loc+300,ds004541,sub-03,ok,,62,1000,30000,2.244763334,2.291068927,2.339851162,14,17
sub-03@roc-60,ds004541,sub-03,ok,,62,1000,30000,1.87570862,1.925004669,2.422226297,14,17
sub-03@roc+60,ds004541,sub-03,ok,,62,1000,30000,1.401195609,1.606228101,2.060519395,14,17
sub-04@start-180,ds004541,sub-04,ok,,62,1000,30000,0.809224024,1.192754062,1.663731027,14,17
sub-04@start-120,ds004541,sub-04,ok,,62,1000,30000,1.093786035,0.9580668235,1.514368105,14,17
sub-04@start-60,ds004541,sub-04,ok,,62,1000,30000,0.8428152244,1.485475657,1.614079216,14,17
