recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,aperiodic_frontal,aperiodic_posterior,aperiodic_wholehead,n_frontal,n_posterior
S001@R01,eegmmidb_rest,S001,ok,,64,160,8800,1.691789319,1.631137033,1.577841437,16,17
S001@R02,eegmmidb_rest,S001,ok,,64,160,8800,1.473614773,1.506775892,1.431384007,16,17
S002@R01,eegmmidb_rest,S002,ok,,64,160,8800,1.211194068,1.135795775,1.099074385,16,17
S002@R02,eegmmidb_rest,S002,ok,,64,160,8800,0.7566405878,0.9480607303,0.8479718969,16,17
S003@R01,eegmmidb_rest,S003,ok,,64,160,8800,1.742621672,1.138182489,1.340592588,16,17
S003@R02,eegmmidb_rest,S003,ok,,64,160,8800,1.232959829,1.227179558,1.234849339,16,17
S004@R01,eegmmidb_rest,S004,ok,,64,160,8800,1.147929911,1.440283615,1.437899987,16,17
S004@R02,eegmmidb_rest,S004,ok,,64,160,8800,1.340405881,1.210985746,1.26924152,16,17
S005@R01,eegmmidb_rest,S005,ok,,64,160,8800,0.8027619596,1.394769393,1.233438879,16,17
S005@R02,eegmmidb_rest,S005,ok,,64,160,8800,1.349604344,1.304951115,1.31861299,16,17
S006@R01,eegmmidb_rest,S006,ok,,64,160,8800,0.265168945,1.073289307,0.6777718452,16,17
S006@R02,eegmmidb_rest,S006,ok,,64,160,8800,0.3366537227,0.9691802695,0.7121950597,16,17
S007@R01,eegmmidb_rest,S007,ok,,64,160,8800,1.746791122,1.30203048,1.317247588,16,17
S007@R02,eegmmidb_rest,S007,ok,,64,160,8800,1.343906937,1.408224947,1.304233085,16,17
S008@R01,eegmmidb_rest,S008,ok,,64,160,8800,1.083439456,1.210654813,1.200786064,16,17
S008@R02,eegmmidb_rest,S008,ok,,64,160,8800,1.631892284,1.171244511,1.32095527,16,17
S009@R01,eegmmidb_rest,S009,ok,,64,160,8800,0.1214883434,0.5701467758,0.2877237336,16,17
S009@R02,eegmmidb_rest,S009,ok,,64,160,8800,-0.03681644803,0.7218892545,0.2779157662,16,17
S010@R01,eegmmidb_rest,S010,ok,,64,160,8800,1.237961408,1.603485387,1.534785646,16,17
S010@R02,eegmmidb_rest,S010,ok,,64,160,8800,1.550546494,1.553479642,1.555216253,16,17
S011@R01,eegmmidb_rest,S011,ok,,64,160,8800,1.500001629,1.51311528,1.436359081,16,17
S011@R02,eegmmidb_rest,S011,ok,,64,160,8800,1.338626163,1.321239367,1.300720556,16,17
S012@R01,eegmmidb_rest,S012,ok,,64,160,8800,0.1596391792,1.430375074,0.9777904872,16,17
S012@R02,eegmmidb_rest,S012,ok,,64,160,8800,1.159258033,1.477061582,1.34226623,16,17
S013@R01,eegmmidb_rest,S013,ok,,64,160,8800,0.9887818177,1.443271058,1.267805859,16,17
S013@R02,eegmmidb_rest,S013,ok,,64,160,8800,1.344320701,1.30282435,1.302424351,16,17
S014@R01,eegmmidb_rest,S014,ok,,64,160,8800,1.593966132,1.482354499,1.441442585,16,17
S014@R02,eegmmidb_rest,S014,ok,,64,160,8800,1.582295741,1.503195513,1.417553911,16,17
S015@R01,eegmmidb_rest,S015,ok,,64,160,8800,1.109075715,0.8623108593,0.8438509246,16,17
S015@R02,eegmmidb_rest,S015,ok,,64,160,8800,1.051210576,0.9763707164,0.9496731471,16,17
S016@R01,eegmmidb_rest,S016,ok,,64,160,8800,1.338867836,1.030470152,1.134692978,16,17
S016@R02,eegmmidb_rest,S016,ok,,64,160,8800,1.244388734,1.127631992,1.105145997,16,17
S017@R01,eegmmidb_rest,S017,ok,,64,160,8800,0.4943673332,0.9936115207,0.7136312208,16,17
S017@R02,eegmmidb_rest,S017,ok,,64,160,8800,0.8825812372,0.8619536377,0.7297181806,16,17
S018@R01,eegmmidb_rest,S018,ok,,64,160,8800,1.902824555,1.541706133,1.544601478,16,17
S018@R02,eegmmidb_rest,S018,ok,,64,160,8800,1.110264935,1.357021034,1.218405195,16,17
S019@R01,eegmmidb_rest,S019,ok,,64,160,8800,0.7795170812,1.217201606,1.084498835,16,17
S019@R02,eegmmidb_rest,S019,ok,,64,160,8800,1.249825864,1.311797662,1.269613779,16,17
S020@R01,eegmmidb_rest,S020,ok,,64,160,8800,1.681100136,1.127463345,1.071934877,16,17
