recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,lempel_ziv,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
bg,figshare_23552964,bg,ok,,62,250,30000,0.4614246898,0.1235843497,0.2840227566,36.71939033,0.9056750987,0.3569016863,0.378432344,0.01439276363
cgr,figshare_23552964,cgr,ok,,62,250,30000,0.196970581,0.05660514341,0.6961370378,10.58119383,0.6336935533,2.948982136,2.074220809,0.007121520201
clg,figshare_23552964,clg,ok,,62,250,30000,0.1443977572,0.06227303425,0.6773988942,9.718683823,0.6219236048,2.983949196,2.09435716,0.03081869872
clh,figshare_23552964,clh,ok,,62,250,30000,0.256807594,0.09513422986,0.5130887113,23.83357189,0.7383522053,2.137028463,1.547172655,0.009562269116
cmx,figshare_23552964,cmx,ok,,62,250,30000,0.4312573682,0.1671275261,0.2803122038,30.70572635,0.8947854201,1.428666354,1.025242544,0.01316117477
cp,figshare_23552964,cp,error,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/uce_data/figshare_doc/cp.dat',,,,,,,,,,,
cxq,figshare_23552964,cxq,ok,,62,250,30000,0.3991480745,0.1711388851,0.3751951588,34.40520346,0.8488589999,0.9644533925,0.7605258824,0.05967311065
cyp,figshare_23552964,cyp,ok,,62,250,30000,0.239002138,0.08451791918,0.4548223736,13.72277105,0.7161564337,2.780811469,1.950349854,0.05225363478
dgx,figshare_23552964,dgx,ok,,62,250,30000,0.1785097095,0.03880089242,0.7607688979,9.348828587,0.5581140824,2.870998307,2.085418459,0.004946638395
dj,figshare_23552964,dj,ok,,62,250,30000,0.2444760716,0.07738359958,0.4555806237,26.89911376,0.7585908506,1.875355345,1.342793215,0.01990686314
djf,figshare_23552964,djf,ok,,62,250,30000,0.5014232448,0.2285528156,0.141778429,33.29086674,0.8869816608,0.7468877237,0.6580723417,0.1031488196
djm,figshare_23552964,djm,ok,,62,250,30000,0.359968789,0.1246251457,0.3954494376,34.51373144,0.8572217156,0.9517151701,0.7324292127,0.007096060038
dxw,figshare_23552964,dxw,ok,,62,250,30000,0.2500471039,0.1510643262,0.4766857341,24.73557346,0.7851317373,2.050796687,1.493116504,0.01100155482
fcl,figshare_23552964,fcl,ok,,62,250,30000,0.4344555534,0.1773875713,0.3258788821,31.79423881,0.8477004717,1.475528511,1.120290666,0.071460099
gjc,figshare_23552964,gjc,ok,,62,250,30000,0.2758085765,0.1030761561,0.4374023432,13.11918855,0.7095561284,2.494136999,1.765345812,0.2079938212
gjm,figshare_23552964,gjm,ok,,62,250,30000,0.2549202399,0.1682591462,0.548704554,21.27487067,0.7214912541,2.23124936,1.54194668,0.02435606347
gn,figshare_23552964,gn,ok,,62,250,30000,0.3770035248,0.1022485596,0.3317972612,36.22531099,0.888017626,0.6456485511,0.6780837654,0.0866512387
gpn,figshare_23552964,gpn,ok,,62,250,30000,0.2160807995,0.04450611358,0.7352016099,27.35746439,0.6234155985,1.109311178,0.9028631926,0.07423689108
gs,figshare_23552964,gs,ok,,62,250,30000,0.1234001847,0.06170030379,0.8035595568,12.06027651,0.5189868252,2.384077322,1.76084585,0.08862355696
hj,figshare_23552964,hj,ok,,62,250,30000,0.2237515889,0.1546900187,0.3283024816,13.60450397,0.7493631217,2.434579561,1.735936844,0.1179718186
hly,figshare_23552964,hly,ok,,62,250,30000,0.4047737247,0.1528429138,0.3117332539,36.27744064,0.8938622315,1.034846722,0.7622322551,0.005827043241
htw,figshare_23552964,htw,ok,,62,250,30000,0.2371511959,0.02833569967,0.7632070854,14.07512313,0.6031384821,2.165621092,1.431481208,0.004280754499
hwr,figshare_23552964,hwr,ok,,62,250,30000,0.501204773,0.1569534582,0.1288452076,37.45798115,0.9593152982,0.4147013947,0.2663601927,0.009310335882
hyg,figshare_23552964,hyg,ok,,62,250,30000,0.6467070267,0.1309027319,0.167245058,42.09552308,0.9744827361,0.3307845319,0.2366262189,0.02130008018
jgb,figshare_23552964,jgb,ok,,62,250,30000,0.229522887,0.05201264333,0.7362508859,9.128519367,0.6210422264,2.646880893,1.83435605,0.1439406296
jhy,figshare_23552964,jhy,ok,,62,250,30000,0.2255479131,0.07241693575,0.5767440187,19.62549549,0.6971207444,2.25434067,1.582426986,0.03390085929
jlj,figshare_23552964,jlj,ok,,62,250,30000,0.2165238118,0.03877267824,0.6669960685,8.363053165,0.6492781286,3.089061403,2.160282476,0.0104574817
jml,figshare_23552964,jml,ok,,62,250,30000,0.5267417051,0.2065223591,0.2249249147,37.7534021,0.9144501415,1.056507572,0.8296306212,0.01134678188
jmz,figshare_23552964,jmz,ok,,62,250,30000,0.4221179624,0.1624464313,0.2311273239,35.31352924,0.931194156,1.00032431,0.7075084043,0.01867428846
jpj,figshare_23552964,jpj,ok,,62,250,30000,0.1591021266,0.0256386684,0.6793431369,7.351199389,0.6031580337,3.406777879,2.385115294,0.005007142814
jsn,figshare_23552964,jsn,ok,,62,250,30000,0.2047020571,0.03654161077,0.7000625214,12.03945348,0.6042142849,2.123511728,1.563467397,0.006333489591
jxn,figshare_23552964,jxn,ok,,62,250,30000,0.1158932491,0.02579167266,0.7832152391,8.91057447,0.5634878608,2.975904366,2.02550006,0.005246682192
jzh,figshare_23552964,jzh,ok,,62,250,30000,0.496780718,0.1612918947,0.2258694202,36.09894343,0.9155748976,0.4433459054,0.4147563416,0.004437677641
lbd,figshare_23552964,lbd,ok,,62,250,30000,0.5147925085,0.3368568467,0.1769015227,33.72483156,0.88700239,1.243766269,0.8711882613,0.1220525094
ldx,figshare_23552964,ldx,ok,,62,250,30000,0.495664084,0.1326559397,0.3705442093,22.20266725,0.7799328989,2.05618628,1.480130762,0.03807995818
lgd,figshare_23552964,lgd,ok,,62,250,30000,0.43850942,0.3376520841,0.2162150042,31.3141685,0.8432315189,1.435147091,1.033252536,0.1516573015
ljx,figshare_23552964,ljx,ok,,62,250,30000,0.1213853887,0.01179635697,0.9134170455,5.415520206,0.4547947426,3.243233826,2.294217651,0.00200406102
lly,figshare_23552964,lly,ok,,62,250,30000,0.1484880358,0.05261096923,0.7142474875,25.94500184,0.6500829929,1.508092298,1.102107958,0.01811007086
lrz,figshare_23552964,lrz,ok,,62,250,30000,0.4560114428,0.266003425,0.2068461082,36.28911881,0.9253727872,0.7700476488,0.6028427898,0.01718387628
lxf,figshare_23552964,lxf,ok,,62,250,30000,0.1661903245,0.05686130024,0.7597208461,10.48388445,0.5942478659,2.968527427,2.120308623,0.02076876607
