recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,lempel_ziv,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
SC4001E0-PSG,sleep_edfx,SC4001E0-PSG,ok,,2,100,12000,0.5979470571,0.09068184733,0.6642731249,29.51551976,0.696595199,,0.870078813,0.0296049374
SC4002E0-PSG,sleep_edfx,SC4002E0-PSG,ok,,2,100,12000,0.4808490917,0.07718873756,0.6285433438,33.52614186,0.7281817564,,1.090882632,0.02742426206
SC4011E0-PSG,sleep_edfx,SC4011E0-PSG,ok,,2,100,12000,0.4874929479,0.03329253208,0.8713288476,8.760998752,0.5463945439,,1.582524457,-0.002592641998
SC4012E0-PSG,sleep_edfx,SC4012E0-PSG,ok,,2,100,12000,0.5373218693,0.05453550301,0.694428189,34.01977611,0.685945741,,1.422417476,0.01094161239
SC4021E0-PSG,sleep_edfx,SC4021E0-PSG,ok,,2,100,12000,0.6112347695,0.1150031416,0.6466900338,30.99045975,0.6902103937,,0.7550113923,-0.003058669382
SC4022E0-PSG,sleep_edfx,SC4022E0-PSG,ok,,2,100,12000,0.454688908,0.01903122341,0.8358989078,27.70524939,0.5682071858,,0.81589857,0.04167883093
SC4031E0-PSG,sleep_edfx,SC4031E0-PSG,ok,,2,100,12000,0.7250108067,0.2169513662,0.4022615255,37.71302009,0.838748207,,0.6772763093,-0.001420351269
SC4032E0-PSG,sleep_edfx,SC4032E0-PSG,ok,,2,100,12000,0.7063249612,0.1261030017,0.6059254175,33.27271611,0.7163859612,,0.7811653986,0.002175730492
SC4041E0-PSG,sleep_edfx,SC4041E0-PSG,ok,,2,100,12000,0.6386406762,0.03510980363,0.7229077603,33.72497263,0.6628599562,,0.904145069,-0.00196489304
SC4042E0-PSG,sleep_edfx,SC4042E0-PSG,ok,,2,100,12000,0.6502674246,0.04396139833,0.6498573372,37.60121303,0.7307252675,,0.474033242,0.07715124692
SC4051E0-PSG,sleep_edfx,SC4051E0-PSG,ok,,2,100,12000,0.5888117548,0.02167876892,0.8307860387,11.39979985,0.5864388895,,1.151968198,0.004713664046
SC4052E0-PSG,sleep_edfx,SC4052E0-PSG,ok,,2,100,12000,0.5485333767,0.04357834191,0.7596553523,31.53105435,0.6420364404,,0.9973708738,0.01579259779
SC4061E0-PSG,sleep_edfx,SC4061E0-PSG,ok,,2,100,12000,0.7773311742,0.02504237339,0.7392079957,35.29576831,0.6664049897,,0.003440781213,-0.003054139814
SC4062E0-PSG,sleep_edfx,SC4062E0-PSG,ok,,2,100,12000,0.6822409825,0.07065700386,0.5787247458,39.10506119,0.7724895714,,0.5590931397,0.03886876383
SC4071E0-PSG,sleep_edfx,SC4071E0-PSG,ok,,2,100,12000,0.6843171875,0.05626339576,0.7183697404,32.8005423,0.6921236354,,0.4739013457,0.04372914682
SC4072E0-PSG,sleep_edfx,SC4072E0-PSG,ok,,2,100,12000,0.7864664765,0.05162883328,0.6154177064,38.33990725,0.762656995,,0.2799388875,-0.001870405587
