recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
SC4001E0-PSG@N2#0,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.8078522552,0.007317867352,0.3542992646,2.347623914,,1.474115388,2.426644982,0.4376640265,0.241513115,0.0004548277512,0.05008239197,0.7644682059,0.7664571761,11.86570302,0.6096967361,,2.52503838,0.2383514665
SC4001E0-PSG@N2#1,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.7888936717,0.01057865413,0.3439393592,2.098854041,,1.240242786,2.341712311,0.4243763141,0.2565478076,0.0003983251738,0.05267194543,0.7526339668,0.7901892673,11.32264169,0.6049917446,,2.458263739,0.09347542479
SC4001E0-PSG@N2#2,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.7938948923,0.009106063104,0.2416094246,0.9015484186,,1.358166335,2.306807019,0.4127495658,0.2856627453,0.000454523243,0.05312830829,0.7468057925,0.7952863232,11.79450645,0.6086844501,,2.407212997,0.2736430393
SC4001E0-PSG@N3#0,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.9243724676,0.001174000294,-0.04824654153,-0.1082384135,,1.465578669,3.348087338,0.243746474,0.3657957072,0.0009402372016,0.01570177334,0.9265070032,0.7465732607,4.93600273,0.4363520258,,3.257396036,0.3728079095
SC4001E0-PSG@N3#1,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.9327540836,0.0009455606337,-0.09984047873,-0.2509797018,,1.5073532,3.380767051,0.2383483408,0.3733774571,0.001155475197,0.01149624826,0.9410479434,0.7158237121,4.329910141,0.4031858422,,3.363562077,0.2596644781
SC4001E0-PSG@N3#2,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.9319241693,0.001049645421,0.06537312125,0.1490245777,,1.032561502,3.399620461,0.2541274993,0.3539344232,0.0006216699055,0.01031241112,0.9431836064,0.746801331,4.32475987,0.4171467185,,3.390838707,0.2729275498
SC4001E0-PSG@REM#0,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.6858400864,0.03397711222,0.286400546,1.168369465,,1.418606427,1.942294005,0.5207122289,0.1784724213,0.000328756228,0.111895773,0.5815720033,0.8790764708,15.41412448,0.7143819515,,1.803969431,0.003013515495
SC4001E0-PSG@REM#1,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.6818164368,0.03366933044,0.2760945232,1.076928242,,1.439502488,1.884625057,0.5310932542,0.1474796921,0.0003386165855,0.1341955383,0.5704027943,0.8535023948,15.64503473,0.7128200346,,1.856849591,0.006327377225
SC4001E0-PSG@REM#2,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.6732700537,0.04559606648,0.2731685977,1.002968916,,1.316647898,1.800337089,0.5165598188,0.1498449401,0.0003105871426,0.1317715631,0.5120079427,0.9620843232,19.91324184,0.7383823818,,1.77408618,0.02891333651
SC4001E0-PSG@W#0,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.5245391934,0.1618027154,0.2924519647,0.733406317,,-0.1598013098,1.623854679,0.560575366,0.1174693058,0.001241265563,0.03837862844,0.7155534969,0.6225937754,30.59025081,0.6592093277,,0.8741858097,0.0332311779
SC4001E0-PSG@W#1,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.5024255747,0.1640250182,0.2168075295,0.3690941469,,-0.2061936271,1.535501786,0.5767697655,0.09471294341,0.0003449401441,0.04667744999,0.7004740181,0.634323644,32.69945322,0.6817415559,,0.9024921845,0.03714634515
SC4001E0-PSG@W#2,sleep_edfx_multiwindow,SC4001E0-PSG,ok,,2,100,12000,0.4546519009,0.201369194,0.3360531705,0.8894203409,,-0.1439243136,1.442769607,0.6353187481,0.09251873498,0.0006717507344,0.053445852,0.6628389882,0.6298695324,35.21914478,0.7092794888,,0.581149777,0.00695697851
