recording_id,subject,label,window_index,start_seconds,sfreq_eeg,n_samples,eeg_channel,emg_channel,irr3,irr4,incr_asym,exponent_high,emg_mean,emg_median,emg_p90,emg_sd,status,error
SC4001E0-PSG@N2#0,SC4001E0-PSG,N2,0,47295.0,100,12000,EEG Fpz-Cz,EMG submental,7.5405409e-05,0.00039717767,0.005934703,2.16427,2.93415,3.067,3.329,0.394291,ok,
SC4001E0-PSG@N2#1,SC4001E0-PSG,N2,1,47415.0,100,12000,EEG Fpz-Cz,EMG submental,0.00038117707,0.0013501944,-0.069163445,2.268,2.55308,2.537,2.843,0.238515,ok,
SC4001E0-PSG@N2#2,SC4001E0-PSG,N2,2,47535.0,100,12000,EEG Fpz-Cz,EMG submental,0.00015994506,0.00030445318,0.077416377,1.8768,2.4669,2.469,2.7722,0.231592,ok,
SC4001E0-PSG@N2#3,SC4001E0-PSG,N2,3,47655.0,100,12000,EEG Fpz-Cz,EMG submental,0.0005935016,0.0011561917,0.097861682,1.51567,2.06067,1.965,2.6068,0.385109,ok,
SC4001E0-PSG@N2#4,SC4001E0-PSG,N2,4,47775.0,100,12000,EEG Fpz-Cz,EMG submental,3.289021e-05,0.00044127229,-0.013770963,1.89081,1.86873,1.787,2.1656,0.374832,ok,
SC4001E0-PSG@N2#5,SC4001E0-PSG,N2,5,47895.0,100,12000,EEG Fpz-Cz,EMG submental,0.00010512297,0.00032719769,0.013762773,2.36076,1.5105,1.439,2.0422,0.397717,ok,
SC4001E0-PSG@N3#0,SC4001E0-PSG,N3,0,34005.0,100,12000,EEG Fpz-Cz,EMG submental,0.00020420506,0.00042872134,-0.059272483,1.60608,2.5035,2.482,2.8182,0.242424,ok,
SC4001E0-PSG@N3#1,SC4001E0-PSG,N3,1,34125.0,100,12000,EEG Fpz-Cz,EMG submental,0.00050566109,0.00099296034,-0.085160595,1.69296,2.40025,2.395,2.7312,0.267585,ok,
SC4001E0-PSG@N3#2,SC4001E0-PSG,N3,2,34245.0,100,12000,EEG Fpz-Cz,EMG submental,0.0004738596,0.0007679207,-0.0072898357,1.75228,2.34545,2.338,2.6304,0.236497,ok,
SC4001E0-PSG@N3#3,SC4001E0-PSG,N3,3,34365.0,100,12000,EEG Fpz-Cz,EMG submental,0.00077990337,0.0014553443,-0.10049775,1.88946,2.28897,2.309,2.6264,0.298605,ok,
SC4001E0-PSG@N3#4,SC4001E0-PSG,N3,4,34485.0,100,12000,EEG Fpz-Cz,EMG submental,0.00032263252,0.00067291553,-0.04147695,1.50438,2.32077,2.336,2.5912,0.256536,ok,
SC4001E0-PSG@N3#5,SC4001E0-PSG,N3,5,34605.0,100,12000,EEG Fpz-Cz,EMG submental,0.00018080387,0.00073763448,-0.13267924,2.00654,0.5044,0.416,0.5544,0.340152,ok,
SC4001E0-PSG@REM#0,SC4001E0-PSG,REM,0,49335.0,100,12000,EEG Fpz-Cz,EMG submental,0.0006449351,0.00088176058,-0.23631966,2.06248,0.42845,0.174,0.8198,0.716666,ok,
SC4001E0-PSG@REM#1,SC4001E0-PSG,REM,1,49455.0,100,12000,EEG Fpz-Cz,EMG submental,0.0001372119,0.00047822165,-0.11024227,1.48132,0.25805,0.135,0.3188,0.510879,ok,
SC4001E0-PSG@REM#2,SC4001E0-PSG,REM,2,49575.0,100,12000,EEG Fpz-Cz,EMG submental,0.00056964636,0.0010982204,-0.26105206,1.48705,0.251717,0.13,0.469,0.379339,ok,
SC4001E0-PSG@REM#3,SC4001E0-PSG,REM,3,49695.0,100,12000,EEG Fpz-Cz,EMG submental,0.00056222121,0.00077524015,0.046066242,1.51195,0.278183,0.152,0.3344,0.539381,ok,
SC4001E0-PSG@REM#4,SC4001E0-PSG,REM,4,49815.0,100,12000,EEG Fpz-Cz,EMG submental,5.3169435e-05,0.00032429623,-0.18259234,1.52095,0.21825,0.169,0.2806,0.326621,ok,
SC4001E0-PSG@REM#5,SC4001E0-PSG,REM,5,49935.0,100,12000,EEG Fpz-Cz,EMG submental,0.00027831253,0.00056689304,-0.25946422,1.73333,0.144367,0.145,0.2182,0.0677042,ok,
SC4001E0-PSG@W#0,SC4001E0-PSG,W,0,14955.0,100,12000,EEG Fpz-Cz,EMG submental,0.0048499622,0.0060536416,-0.97549622,-0.0161127,3.44565,3.453,3.53,0.0747269,ok,
SC4001E0-PSG@W#1,SC4001E0-PSG,W,1,15075.0,100,12000,EEG Fpz-Cz,EMG submental,0.0029465468,0.0047255196,-0.68053949,-0.372865,3.41105,3.417,3.4786,0.0646709,ok,
SC4001E0-PSG@W#2,SC4001E0-PSG,W,2,15195.0,100,12000,EEG Fpz-Cz,EMG submental,0.0042445193,0.0053384095,-0.86278192,-0.139417,3.41662,3.418,3.4984,0.0723334,ok,
SC4001E0-PSG@W#3,SC4001E0-PSG,W,3,15315.0,100,12000,EEG Fpz-Cz,EMG submental,0.0022491968,0.0028028441,-0.55050175,-0.221993,3.45858,3.459,3.5582,0.0687946,ok,
SC4001E0-PSG@W#4,SC4001E0-PSG,W,4,15435.0,100,12000,EEG Fpz-Cz,EMG submental,0.0052846307,0.0076395447,-0.33554698,-0.0486844,3.40972,3.414,3.4794,0.0591925,ok,
SC4001E0-PSG@W#5,SC4001E0-PSG,W,5,15555.0,100,12000,EEG Fpz-Cz,EMG submental,0.0077813201,0.011306451,-0.64838781,-0.154711,3.3733,3.374,3.4686,0.0700455,ok,
SC4002E0-PSG@N2#0,SC4002E0-PSG,N2,0,54375.0,100,12000,EEG Fpz-Cz,EMG submental,5.415562e-05,0.00056416689,0.024920523,1.34304,1.48697,1.491,1.7182,0.2034,ok,
SC4002E0-PSG@N2#1,SC4002E0-PSG,N2,1,54495.0,100,12000,EEG Fpz-Cz,EMG submental,0.00033867076,0.00073549367,0.0116253,1.1038,1.51837,1.522,1.7176,0.180785,ok,
SC4002E0-PSG@N2#2,SC4002E0-PSG,N2,2,54615.0,100,12000,EEG Fpz-Cz,EMG submental,1.6211086e-05,7.2168535e-05,0.0042757355,1.16938,1.44145,1.439,1.6586,0.175294,ok,
SC4002E0-PSG@N2#3,SC4002E0-PSG,N2,3,54735.0,100,12000,EEG Fpz-Cz,EMG submental,0.00014172814,0.00057564055,0.025556145,1.25742,1.409,1.38,1.641,0.184538,ok,
SC4002E0-PSG@N2#4,SC4002E0-PSG,N2,4,54855.0,100,12000,EEG Fpz-Cz,EMG submental,0.00045792798,0.00054405851,-0.0016405866,0.965051,1.45027,1.44,1.6932,0.194701,ok,
SC4002E0-PSG@N2#5,SC4002E0-PSG,N2,5,54975.0,100,12000,EEG Fpz-Cz,EMG submental,0.00016066655,0.00043339289,0.024541279,1.34256,1.45898,1.444,1.694,0.180959,ok,
SC4002E0-PSG@N3#0,SC4002E0-PSG,N3,0,49995.0,100,12000,EEG Fpz-Cz,EMG submental,0.0012238317,0.0023356884,-0.080956153,0.73105,1.27218,1.246,1.5282,0.170189,ok,
SC4002E0-PSG@N3#1,SC4002E0-PSG,N3,1,50115.0,100,12000,EEG Fpz-Cz,EMG submental,0.00069436891,0.00085842518,-0.075570345,0.724696,0.934583,0.883,1.3046,0.251475,ok,
SC4002E0-PSG@N3#2,SC4002E0-PSG,N3,2,50235.0,100,12000,EEG Fpz-Cz,EMG submental,0.00090354419,0.001160773,-0.12430675,0.788257,0.802317,0.805,1.0026,0.148384,ok,
SC4002E0-PSG@N3#3,SC4002E0-PSG,N3,3,50355.0,100,12000,EEG Fpz-Cz,EMG submental,0.00064365067,0.00085555317,-0.060722801,0.743946,0.780683,0.763,0.9528,0.163568,ok,
SC4002E0-PSG@N3#4,SC4002E0-PSG,N3,4,50475.0,100,12000,EEG Fpz-Cz,EMG submental,0.00037321192,0.00064838576,-0.049094494,0.852701,0.747467,0.732,0.9248,0.134983,ok,
SC4002E0-PSG@N3#5,SC4002E0-PSG,N3,5,50595.0,100,12000,EEG Fpz-Cz,EMG submental,0.00091315054,0.0015046704,-0.086946204,0.709451,0.750567,0.757,0.9764,0.158474,ok,
SC4002E0-PSG@REM#0,SC4002E0-PSG,REM,0,34770.0,100,12000,EEG Fpz-Cz,EMG submental,3.1562914e-05,0.00040319369,0.033058145,1.54777,0.277117,0.247,0.3686,0.198049,ok,
SC4002E0-PSG@REM#1,SC4002E0-PSG,REM,1,34890.0,100,12000,EEG Fpz-Cz,EMG submental,6.3160204e-05,0.00037620907,-0.21609209,1.36012,0.298933,0.251,0.394,0.216103,ok,
SC4002E0-PSG@REM#2,SC4002E0-PSG,REM,2,35010.0,100,12000,EEG Fpz-Cz,EMG submental,0.00021723493,0.00044899013,0.19913332,0.62552,0.9232,0.4,1.8478,1.03427,ok,
SC4002E0-PSG@REM#3,SC4002E0-PSG,REM,3,35130.0,100,12000,EEG Fpz-Cz,EMG submental,0.00034659421,0.0013239393,-1.8328213,0.592392,0.720817,0.422,1.6184,0.73266,ok,
SC4002E0-PSG@REM#4,SC4002E0-PSG,REM,4,35250.0,100,12000,EEG Fpz-Cz,EMG submental,0.00015383325,0.00064262489,-0.40908077,0.75684,0.2708,0.262,0.3786,0.0866766,ok,
